"Булгаков_БелаяГвардия" "Булгаков_МастериМаргарита" "Иванов_Бронепоезд1469" "Иванов_ГолубыеПески" "Крюков_ГруппаБ" "Крюков_Зыбь" "Крюков_КисточникуИсцелений" "Крюков_Мать" "Крюков_Шквал" "Леонов_Барсуки" "Леонов_Вор" "Островский_КакЗакалялась1" "Островский_КакЗакалялась2" "Платонов_Котлован" "Платонов_Чевенгур" "Платонов_ЮвенильноеМоре" "Севский_ДонНаКостылях" "Серафимович_ЖелезныйПоток1" "Серафимович_ЖелезныйПоток2" "Фадеев_Разгром" "Фурманов_Чапаев" "Шолохов_ДонскиеРассказы" "Шолохов_ОниСражалисьЗаРодину" "Шолохов_ПоднятаяЦелина1" "Шолохов_ПоднятаяЦелина2" "Шолохов_СудьбаЧеловека" "Dubia_ТихийДон1" "Dubia_ТихийДон2" "Dubia_ТихийДон3" "Dubia_ТихийДон4"
"все" 0.412152942159347 0.418545882105189 0.419966402687785 0.366617328930889 0.546477079796265 0.422420058139535 0.427400468384075 0.543708515746363 0.49502800816362 0.46300115492493 0.48745683975898 0.421503437394342 0.416620375513832 0.526361706458836 0.388701736201088 0.487226757966816 0.216816857510671 0.966615949163161 0.918129248249975 0.607700496806246 0.723013520352831 0.210337574566394 0.529842931937173 0.394515368254535 0.431769722814499 0.544020310091577 0.175897767369905 0.233547418466928 0.355012260732716 0.472999298683083
"же" 0.4149377593361 0.521208079602689 0.15598752099832 0.286917909598087 0.323641765704584 0.25890261627907 0.234192037470726 0.225956785764723 0.455946849624387 0.372257053291536 0.404651671466589 0.315564070776513 0.375884161019146 0.418762904586035 0.391293081109096 0.487226757966816 0.372653973846467 0.519108565291327 0.481891041899158 0.372604684173172 0.488034126238161 0.222980816753445 0.552879581151832 0.536309400365578 0.60501066098081 0.46241726357784 0.208746145613682 0.348235882892652 0.383376642389196 0.425465596509
"это" 0.435823888161742 0.567713177614376 0.179985601151908 0.186724353865422 0.371392190152801 0.395167151162791 0.281030444964871 0.324812879536789 0.477658604368405 0.270169938953968 0.310389184290974 0.389947030316691 0.536977372884494 0.25881873963998 0.318735423684892 0.408217013431657 0.176163696727421 0.210328470419762 0.243481789591153 0.481281050390348 0.402477526329742 0.221831431100077 0.458638743455497 0.514123939559088 0.50817341862118 0.353613201559525 0.229938647706441 0.248144132121111 0.270834095816711 0.478453985817813
"так" 0.314684340973015 0.364143691978309 0.197984161267099 0.273255151998178 0.281196943972835 0.363372093023256 0.327868852459016 0.176528738878689 0.351730426853098 0.389787163834351 0.417150564793742 0.23892708215936 0.24256564085472 0.293715648355483 0.283320376608793 0.215082082345712 0.284572125482756 0.389331423968495 0.355077609820432 0.383694109297374 0.53985009519678 0.235624058940496 0.464921465968586 0.443709216129795 0.464641080312722 0.634690361773506 0.268085151473409 0.257527733755943 0.294623577206017 0.402088365931583
"было" 0.316076749561391 0.409771335310531 0.383969282457403 0.16850734373221 0.429753820033956 0.486010174418605 0.620608899297424 0.458974721084593 0.386469234443528 0.359882857614255 0.303618950405433 0.329088245238364 0.283301855349406 0.296623724081775 0.320462986956897 0.267755245369151 0.237143437902297 0.129777141322832 0.218119103175408 0.359297374024131 0.545875207866387 0.110341022723354 0.18848167539267 0.238734849982879 0.23365316275764 0.389881222232297 0.136691638498299 0.174117941446326 0.252534494748014 0.276630561832775
"да" 0.229747417082069 0.268501131916537 0.191984641228702 0.150290333598998 0.185696095076401 0.245276162790698 0.38056206088993 0.395424375088264 0.403838638238742 0.394943078699884 0.324971226505986 0.126225628310605 0.109247120690294 0.0639776659784221 0.120929429040339 0.0921780352910192 0.0948573751609188 0.255079208806945 0.202901491325961 0.332682753726047 0.49646928397561 0.205740031952921 0.291099476439791 0.351591324520239 0.346481876332623 0.272010155045788 0.148347514649317 0.214780215197264 0.227830033305274 0.295332346294709
"она" 0.193544793784288 0.347472053068459 0.0479961603071754 0.198109985198679 0.254668930390492 0.25890261627907 0.146370023419204 0.847337946617709 0.112901124668896 0.316573172743772 0.269246993755761 0.344866448777189 0.283301855349406 0.302439875534359 0.241858858080677 0.474058467210956 0.0813063215665018 0.0581759599033384 0.0913056710966826 0.35264371894961 0.131347456197431 0.104594094456513 0.194764397905759 0.265743237051649 0.310056858564321 0.163206093027473 0.290337278670806 0.156393360580532 0.162866449511401 0.423127873451258
"вот" 0.250633545907711 0.208834213712862 0.107991360691145 0.109302060799271 0.249363327674024 0.413335755813953 0.398126463700234 0.40954667419856 0.290937513569847 0.381537700049497 0.214564335449465 0.279499605544912 0.185164611339481 0.0901503475150493 0.101926233048285 0.0965674655429725 0.0542042143776679 0.0939765506130851 0.116668357512428 0.21069907735983 0.316920926421324 0.257462386354494 0.351832460732984 0.367989273811993 0.385572139303483 0.39894822740049 0.202388394985854 0.212694970389524 0.231489953519013 0.23533078781267
"бы" 0.250633545907711 0.263236403839742 0.0719942404607631 0.204941363998634 0.212224108658744 0.354287790697674 0.234192037470726 0.268323683095608 0.308306917365061 0.208298960567563 0.399443799246942 0.160036064465232 0.133318520164426 0.221013755198185 0.259134490800726 0.149240628566412 0.35910292025205 0.0626510337420567 0.0811605965303845 0.246185237757275 0.219314101173692 0.151718906244612 0.381151832460733 0.316866255431821 0.335820895522388 0.181340103363859 0.137751263602937 0.142839269330219 0.199465651648794 0.289098418140731
"под" 0.233924642847197 0.243932400891494 0.179985601151908 0.273255151998178 0.180390492359932 0.136264534883721 0.22248243559719 0.0988560937720661 0.125928177515307 0.178394654347467 0.196857569902665 0.155528006311281 0.203681072473429 0.133771483409428 0.150298004664421 0.105346326046879 0.243918964699505 0.299829947194129 0.202901491325961 0.164123491838183 0.15665292940978 0.390791122145213 0.16544502617801 0.224266071196037 0.189232409381663 0.226675129204824 0.348616659425895 0.282550671448828 0.319328038648757 0.215070521312242
"до" 0.179620707900526 0.155309478265448 0.113990880729542 0.104747808265968 0.228140916808149 0.181686046511628 0.187353629976581 0.190651037988985 0.117243475617699 0.166020458670186 0.244769994323419 0.142003831849431 0.251823871421694 0.194841073661558 0.202124902824566 0.193134931085945 0.304898705874382 0.344580685581312 0.278989550573197 0.155251951738822 0.222929168775456 0.324126754249853 0.324607329842932 0.251756750891036 0.244314143567875 0.326412186054946 0.247952274485287 0.203311368754692 0.222340152984665 0.209615834177511
"ее" 0.192152385195912 0.262358949160276 0.0479961603071754 0.204941363998634 0.164473684210526 0.222565406976744 0.210772833723653 0.628442310408134 0.125928177515307 0.242327998680086 0.311430758734904 0.279499605544912 0.255527163648483 0.311164102713235 0.253088019348709 0.34676498990431 0.101632901958127 0.111876845967958 0.0456528355483413 0.21291696238467 0.100016870315475 0.105743480109881 0.0942408376963351 0.197257684127267 0.217661691542289 0.199474113700245 0.256429275322391 0.164734339811494 0.172931230099184 0.290656900179225
"меня" 0.121139547188727 0.206201849674464 0.101991840652748 0.170784469998861 0.11141765704584 0.0953851744186047 0.0878220140515222 0.148284140658099 0.108558773720092 0.208298960567563 0.286432972080597 0.220894849543559 0.231455764174351 0.157036089219763 0.136477498488382 0.109735756298832 0.0542042143776679 0.040275664548465 0.0304352236988942 0.106458481192335 0.106041982985082 0.245968529820811 0.326701570680628 0.366542395933309 0.457533759772566 0.988303563333031 0.147287889544679 0.0927933939444491 0.126267247374007 0.263383464505572
"только" 0.187975159430783 0.246564764929891 0.167986561075114 0.134350449732438 0.0795840407470289 0.113553779069767 0.0761124121779859 0.120039542437509 0.117243475617699 0.218610790298631 0.264039121536114 0.218640820466584 0.201829426360034 0.244278361008521 0.171028763928479 0.228250373101571 0.291347652279965 0.183478027387452 0.248554326874303 0.306068133427963 0.459113585424047 0.10689286576325 0.320418848167539 0.248380702507439 0.31272210376688 0.326412186054946 0.0805315079524864 0.117816331637334 0.163781429564835 0.230655341697187
"мне" 0.114177504246846 0.213221487110191 0.161987041036717 0.195832858932028 0.0583616298811545 0.0817587209302326 0.0936768149882904 0.134161841547804 0.0911893699248773 0.153646262992905 0.289036908190421 0.151019948157331 0.214790949153798 0.180300695030099 0.173620108836486 0.153630058818365 0.0203265803916254 0.0223753691935917 0.0152176118494471 0.106458481192335 0.0843515773744969 0.216084502833236 0.27434554973822 0.376188248457869 0.457533759772566 0.92483452715568 0.165301516323525 0.102176995579281 0.163781429564835 0.255591054313099
"о" 0.135063633072489 0.286927680185318 0.31197504199664 0.346123192531026 0.127334465195246 0.317950581395349 0.515222482435597 0.225956785764723 0.356072777801902 0.195924764890282 0.23383346266216 0.268229460160036 0.322186423730697 0.133771483409428 0.180530361924505 0.158019489070319 0.237143437902297 0.143202362838987 0.0963782083798316 0.314939673527324 0.373556985515629 0.112639794030091 0.138219895287958 0.188094124228935 0.187455579246624 0.0816030465137365 0.143049389126127 0.276294937025607 0.176591150312923 0.20416114704278
"еще" 0.236709460023949 0.211466577751259 0.15598752099832 0.241375384265058 0.185696095076401 0.213481104651163 0.146370023419204 0.141222991102952 0.191063441747362 0.29491833030853 0.315597056510621 0.175814268004057 0.264785394215458 0.33442870852357 0.195214649736547 0.342375559652357 0.22359238430788 0.120826993645395 0.101450745662981 0.277235628105039 0.236184416648591 0.110341022723354 0.312041884816754 0.172178467563409 0.177683013503909 0.30827817571856 0.100664384940608 0.154308115772792 0.178421110419793 0.162082132003429
"ему" 0.146202901779498 0.218486215186986 0.149988000959923 0.15256745986565 0.127334465195246 0.208938953488372 0.128805620608899 0.183589888433837 0.260541056928221 0.193862398944069 0.255706525984678 0.157782035388256 0.255527163648483 0.346061011428738 0.279001468428781 0.162408919322272 0.0948573751609188 0.0313255168710284 0.0862331338135335 0.372604684173172 0.213288988504085 0.150569520591244 0.196858638743455 0.214137926045249 0.223880597014925 0.281077160213981 0.166361141428163 0.156393360580532 0.182081030633532 0.200264941946544
"сказал" 0.193544793784288 0.241300036853097 0.569954403647708 0.391665717864056 0.286502546689304 0.290697674418605 0.439110070257611 0.162406439768394 0.325676321160276 0.259858109222901 0.0572865944161194 0.11495548292573 0.122208643484057 0.389682147323116 0.294549537876825 0.254586954613291 0.00677552679720848 0.0895014767743668 0.177538804910216 0.403655074520937 0.0542260140264623 0.180453547578819 0.42303664921466 0.183753490592882 0.237206823027719 0.126938072354701 0.0858296334756763 0.124072066060556 0.0878380851297442 0.331177433180083
"ну" 0.206076471079674 0.172858571854764 0.167986561075114 0.0979164294660139 0.33955857385399 0.227107558139535 0.210772833723653 0.254201383985313 0.286595162621043 0.24748391354562 0.0937416999536499 0.169052180773132 0.0703625523090027 0.0959664989676331 0.0855143819642394 0.0526731630234396 0.0203265803916254 0.0895014767743668 0.10652328294613 0.239531582682754 0.162678042079387 0.228727745020287 0.27434554973822 0.288410990484366 0.283404406538735 0.262943149877595 0.176957392474543 0.127199933272166 0.195805731435055 0.277409802852022
"уже" 0.194937202372664 0.243932400891494 0.0779937604991601 0.0432653990663782 0.159168081494058 0.245276162790698 0.204918032786885 0.0706114955514758 0.121585826566503 0.314510806797558 0.145299634928157 0.216386791389609 0.214790949153798 0.296623724081775 0.255679364256716 0.342375559652357 0.115183955552544 0.120826993645395 0.111595820229279 0.230660042583392 0.134962523799195 0.0597680539751503 0.270157068062827 0.216067096550161 0.280739161336176 0.344546196391332 0.0794718828478484 0.152222870965051 0.176591150312923 0.155848203849451
"когда" 0.144810493191122 0.159696751662777 0.161987041036717 0.157121712398953 0.169779286926995 0.267986918604651 0.181498829039813 0.127100691992656 0.217117547440184 0.183550569213001 0.191649697683018 0.281753634621887 0.290708439802985 0.203565300840434 0.200397339552561 0.219471512597665 0.243918964699505 0.156627584355142 0.192756416759663 0.279453513129879 0.290410430675054 0.141374435364298 0.255497382198953 0.185200368471566 0.213219616204691 0.253876144709403 0.102783635149884 0.119901576445075 0.131757127694616 0.201044182965791
"они" 0.200506836726169 0.110559289612691 0.15598752099832 0.16850734373221 0.143251273344652 0.177143895348837 0.421545667447307 0.148284140658099 0.199748143644969 0.139209701369411 0.101032721061156 0.164544122619182 0.166648150205533 0.186116846482682 0.28936684806081 0.162408919322272 0.142286062741378 0.143202362838987 0.167393730343918 0.308286018452803 0.326561106692695 0.0862039240026206 0.169633507853403 0.170731589684725 0.178571428571429 0.199474113700245 0.0964258845220561 0.157435982984402 0.22142517293123 0.26104574144783
"их" 0.147595310367874 0.107049470894828 0.173986081113511 0.173061596265513 0.122028862478778 0.227107558139535 0.275175644028103 0.197712187544132 0.156324634156933 0.156739811912226 0.136967039376722 0.193846500619858 0.185164611339481 0.19774914938785 0.208171374276583 0.179966640330085 0.284572125482756 0.250604134968227 0.213046565892259 0.170777146912704 0.215699033571928 0.129880578830615 0.16544502617801 0.166390956048673 0.159914712153518 0.108804062018315 0.148347514649317 0.211652347985654 0.256194414961754 0.234551546793423
"был" 0.201899245314545 0.266746222557605 0.173986081113511 0.161675964932256 0.191001697792869 0.249818313953488 0.216627634660422 0.20477333709928 0.191063441747362 0.223766705164164 0.116656337720098 0.229910965851459 0.207384364700218 0.215197603745602 0.186576833376522 0.179966640330085 0.189714750321838 0.0626510337420567 0.0253626864157452 0.252838892831796 0.242209529318198 0.114938565336827 0.127748691099476 0.162050322412621 0.143923240938166 0.208541118868438 0.109141385777712 0.185586787888898 0.188485891007576 0.172212265253643
"вы" 0.267342448968225 0.360633873260446 0.15598752099832 0.161675964932256 0.201612903225806 0.0590479651162791 0.146370023419204 0.120039542437509 0.29527986451865 0.101055931364461 0.171338996026393 0.218640820466584 0.168499796318928 0.145403786314596 0.0898332901442515 0.131682907558599 0.0542042143776679 0.232703839613354 0.131885969361875 0.0887154009936125 0.0915817125780252 0.0999965518430399 0.129842931937173 0.194363928369899 0.183013503909026 0.0453350258409647 0.129274262765833 0.223121194428226 0.165611389671705 0.224421413543209
"тут" 0.139240858837617 0.270256041275468 0.149988000959923 0.109302060799271 0.169779286926995 0.140806686046512 0.281030444964871 0.197712187544132 0.121585826566503 0.235109717868339 0.124468146049569 0.0766369886171532 0.09628559789653 0.0494372873469625 0.122656992312343 0.105346326046879 0 0.16110265819386 0.101450745662981 0.13972675656494 0.359096715108573 0.150569520591244 0.203141361256545 0.189541002107619 0.231876332622601 0.30827817571856 0.10490288535916 0.117816331637334 0.118032426893094 0.157406685887945
"мы" 0.0891141496560751 0.0886229226260464 0.269978401727862 0.113856313332574 0.106112054329372 0.0408793604651163 0.111241217798595 0.0564891964411806 0.156324634156933 0.149521531100478 0.0900961893998969 0.189338442465908 0.249972225308299 0.162852240672347 0.15720825775244 0.179966640330085 0.0609797411748763 0.228228765774635 0.182611342193365 0.0864975159687722 0.171113199816837 0.202291874992816 0.190575916230366 0.204974366146916 0.170575692963753 0.290144165382174 0.141989764021489 0.271081825006256 0.21959521282436 0.171433024234396
"него" 0.148987718956251 0.164084025060106 0.203983681305496 0.177615848798816 0.127334465195246 0.163517441860465 0.187353629976581 0.225956785764723 0.173694037952147 0.154677445966012 0.139050188264581 0.178068297081032 0.164796504092138 0.154128013493471 0.18916817828453 0.0877886050390659 0.0609797411748763 0.120826993645395 0.10652328294613 0.294978708303762 0.124117320993903 0.121834879257037 0.203141361256545 0.193881635743671 0.21410803127221 0.24480913954121 0.116558761510178 0.112603219617983 0.133587087801486 0.144159588560742
"ни" 0.153164944721379 0.215853851148588 0.131989440844732 0.084253671866105 0.164473684210526 0.186228197674419 0.0995316159250585 0.169467589323542 0.143297581310522 0.113430127041742 0.192170484904982 0.0879071340020286 0.107395474576899 0.13667955913572 0.149434223028418 0.0482837327714863 0.0406531607832509 0.29535487335541 0.497108653748605 0.133073101490419 0.222929168775456 0.101145937496408 0.150785340314136 0.17700139382569 0.226545842217484 0.181340103363859 0.0890085087895902 0.0907081491367086 0.103392746038136 0.151172757733967
"тебе" 0.0556963435350469 0.0605443728831406 0.137988960883129 0.134350449732438 0.0159168081494058 0.0635901162790698 0.0468384074941452 0.112978392882361 0.013027052846411 0.155708628939119 0.152069868813699 0.103685337540854 0.129615227937637 0.130863407683136 0.203852466096571 0.127293477306646 0.0203265803916254 0.0313255168710284 0.0152176118494471 0.0909332860184528 0.0735063745692044 0.173557233658609 0.217801047120419 0.253685921395948 0.322494669509595 0.208541118868438 0.11549913640554 0.0771540578863959 0.0924129853969183 0.205719629081275
